Doc.fact.,ClFac,OrgVt,CDis,Fechacompra,Año,zona de ventas ,IDCliente,cantidadComprada,UMB,SKU,Descripción de SKU,NombreCliente,Grupo de vendedores,Grupo de materiales 1,Grupo de materiales 3,Grupo de materiales 4
87140011,G2,1000,10,5/20/2025,2025,209,102160,1.620,M2,243069,ASTRO BLANCO 30X60 GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,PLANOS Y LISOS,REVESTIMIENTO
87140011,G2,1000,10,5/20/2025,2025,209,102160,3.240,M2,243051,MARMOL OSLO 30X60  GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MARMOLIZADOS,REVESTIMIENTO
87140011,G2,1000,10,5/20/2025,2025,209,102160,5.400,M2,260035,DIAMANTE BATTISTI CYR 60X60 GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,DIAMANTES,REVESTIMIENTO
87140011,G2,1000,10,5/20/2025,2025,209,102160,3.240,M2,241283,MACERATA WENGUE 30X60  GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140011,G2,1000,10,5/20/2025,2025,209,102160,3.240,M2,243159,TORREJON MIX 30X60 GB,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceramica,FACHALETAS,REVESTIMIENTO
87140011,G2,1000,10,5/20/2025,2025,209,102160,2.070,M2,263045,VATICANO 58.4 X118.4 GB RECT,YEIMY ALEJANDRA PERILLA MORENO,GTE. MARIA FERNANDEZ,Ceranatto,MARMOL,REVESTIMIENTO
87140014,G2,1000,10,5/20/2025,2025,209,100627,3.240,M2,241286,MACERATA MARFIL 30X60 GB,ARCOE S.A.S,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140014,G2,1000,10,5/20/2025,2025,209,100627,1.080,M2,203062,ITRIA GRIS 60X60 PRIMERA,ARCOE S.A.S,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87140014,G2,1000,10,5/20/2025,2025,209,100627,0.180,M2,203072,ALISIOS 30X60 PRIMERA,ARCOE S.A.S,GTE. MARIA FERNANDEZ,Ceramica,MARMOLIZADOS,REVESTIMIENTO
87140014,G2,1000,10,5/20/2025,2025,209,100627,0.720,M2,203060,MADERA SABINO 60X60 PRIMERA,ARCOE S.A.S,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140014,G2,1000,10,5/20/2025,2025,209,100627,0.360,M2,203073,ARIETTA 60X60 PRIMERA,ARCOE S.A.S,GTE. MARIA FERNANDEZ,Ceramica,MARMOLIZADOS,REVESTIMIENTO
87140014,G2,1000,10,5/20/2025,2025,209,100627,0.180,M2,201386,MACERATA MARFIL 30X60 PRIMERA,ARCOE S.A.S,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140021,ZBRE,1000,10,5/20/2025,2025,209,100338,81.000,M2,263022,COLONATTA 60X60 CYR GB,GABRIEL CAMARGO PEREZ,GTE. MARIA FERNANDEZ,Ceramica,MARMOLIZADOS,REVESTIMIENTO
87140029,G2,1000,10,5/21/2025,2025,205,148,1.800,M2,203090,ALAMY NATURAL 60X60 PRIMERA,MAXICASSA S.A.S / CERA TUNJA REAL,GTE. CESAR ARAMENDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140044,ZBRE,1000,10,5/21/2025,2025,209,100338,81.000,M2,263025,DONATA 60X60 CYR GB,GABRIEL CAMARGO PEREZ,GTE. MARIA FERNANDEZ,Ceramica,DIAMANTE,REVESTIMIENTO
87140055,G2,1000,10,5/22/2025,2025,209,101226,5.400,M2,263072,CARISTO 60X60 CYR GB,EUROPLAZA S.A.,GTE. MARIA FERNANDEZ,Ceramica,MARMOLIZADOS,REVESTIMIENTO
,,,,,,,,,,,,,,,,
87140065,G2,1000,10,5/22/2025,2025,209,159414,4.860,M2,201467,D-MACERATA WENGUE 45X90.1 PRIMERA,GRUPO EMPRESARIAL SAN CARLOS SAS,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140068,G2,1000,10,5/23/2025,2025,209,100638,2.070,M2,231028,TELLUS GRIS 58.4X118.4 CYR PRIMERA,DECORACIONES Y CERAMICAS SAS,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87140068,G2,1000,10,5/23/2025,2025,209,100638,1.620,M2,201382,MACERATA AVELLANA 30X60  PRIMERA,DECORACIONES Y CERAMICAS SAS,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
,,,,,,,,,,,,,,,,
87140094,G2,1000,10,5/26/2025,2025,205,101197,4.140,M2,263068,SINAI 58.4X118.4 GB DUAL RECT,MULTICENTRO COMERCIALIZADORA DE,GTE. CESAR ARAMENDEZ,Ceramica,NATURALES,REVESTIMIENTO
87140095,G2,1000,10,5/26/2025,2025,205,101274,3.240,M2,203033,CERITALIA CA 30X60,DEPOSITO CENTRAL CHOCONTA LTDA,GTE. CESAR ARAMENDEZ,Ceramica,DIAMANTES,REVESTIMIENTO
87140095,G2,1000,10,5/26/2025,2025,205,101274,1.800,M2,203034,CERITALIA TD 60X60,DEPOSITO CENTRAL CHOCONTA LTDA,GTE. CESAR ARAMENDEZ,Ceramica,DIAMANTES,REVESTIMIENTO
87140095,G2,1000,10,5/26/2025,2025,205,101274,1.620,M2,203069,ASTRO BLANCO 30X60 PRIMERA,DEPOSITO CENTRAL CHOCONTA LTDA,GTE. CESAR ARAMENDEZ,Ceramica,PLANOS Y LISOS,REVESTIMIENTO
87140132,G2,1000,10,5/27/2025,2025,205,101272,1.620,M2,201385,MACERATA ALMENDRA 30X60 PRIMERA,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140132,G2,1000,10,5/27/2025,2025,205,101272,3.600,M2,203062,ITRIA GRIS 60X60 PRIMERA,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87140132,G2,1000,10,5/27/2025,2025,205,101272,3.240,M2,203040,MARMOL ALBA 30X60 PRIMERA,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140133,G2,1000,10,5/27/2025,2025,205,101272,7.200,M2,203112,ALTEA CAFE 60X60 PRIMERA EXC,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140136,G2,1000,10,5/27/2025,2025,205,101272,1.620,M2,203103,SARISA GRIS 30X60 PRIMERA EXC,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140136,G2,1000,10,5/27/2025,2025,205,101272,3.240,M2,203102,SARISA BEIGE 30X60 PRIMERA EXC,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140137,G2,1000,10,5/27/2025,2025,205,101272,4.140,M2,230020,MACARI 58.4X118.4 PRIMERA,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,NATURALES,REVESTIMIENTO
87140137,G2,1000,10,5/27/2025,2025,205,101272,1.800,M2,203061,ITRIA BEIGE 60X60 PRIMERA,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87140137,G2,1000,10,5/27/2025,2025,205,101272,1.620,M2,203041,MARMOL OSLO 30X60 PRIMERA,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140139,G2,1000,10,5/27/2025,2025,205,101272,0.910,M2,231033,MADERA TAUARI INT 19.3X118.4 PRIMERA REC,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140139,G2,1000,10,5/27/2025,2025,205,101272,3.600,M2,202228,EXTERIOR SELCI 60X60 PRIMERA,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,EXTERIORES,REVESTIMIENTO
87140139,G2,1000,10,5/27/2025,2025,205,101272,1.800,M2,231024,GINEVRA 60X60 CYR PRIMERA,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MARMOLIZADOS,REVESTIMIENTO
87140139,G2,1000,10,5/27/2025,2025,205,101272,1.800,M2,203097,MONFERRATO GRIS 60X60 PRIMERA,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,EXTERIORES,REVESTIMIENTO
87140139,G2,1000,10,5/27/2025,2025,205,101272,2.520,M2,203112,ALTEA CAFE 60X60 PRIMERA EXC,AMBIENTES CERAMICOS LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140144,G2,1000,10,5/28/2025,2025,209,100796,2.070,M2,260015,ADIGIO 58.4X118.4 GB,FERRECERAMICAS SAN JOSE S.A.S.,GTE. MARIA FERNANDEZ,Ceramica,HIBRIDOS,REVESTIMIENTO
87140144,G2,1000,10,5/28/2025,2025,209,100796,2.070,M2,263038,PICASSO 58.4 X118.4 GB RECT,FERRECERAMICAS SAN JOSE S.A.S.,GTE. MARIA FERNANDEZ,Ceranatto,MARMOLIZADOS,REVESTIMIENTO
87140144,G2,1000,10,5/28/2025,2025,209,100796,2.070,M2,260019,VALTELINA 58.4X118.4 GB,FERRECERAMICAS SAN JOSE S.A.S.,GTE. MARIA FERNANDEZ,Ceramica,OXIDOS,REVESTIMIENTO
87140144,G2,1000,10,5/28/2025,2025,209,100796,1.215,M2,242158,D-LOMBARDIA PLATA 45X90.1 GB,FERRECERAMICAS SAN JOSE S.A.S.,GTE. MARIA FERNANDEZ,Ceramica,NATURAL-PIEDRA,REVESTIMIENTO
87140147,G2,1000,10,5/28/2025,2025,209,100387,4.140,M2,263046,RICCARDI 58.4 X118.4 GB RECT,FUXION REVESTIMIENTOS SAS,GTE. MARIA FERNANDEZ,Ceranatto,MARMOL,REVESTIMIENTO
87140147,G2,1000,10,5/28/2025,2025,209,100387,2.070,M2,263041,GARDNOS 58.4X118.4 GB RECT,FUXION REVESTIMIENTOS SAS,GTE. MARIA FERNANDEZ,Ceranatto,MARMOLIZADOS,REVESTIMIENTO
87140148,G2,1000,10,5/28/2025,2025,209,118,1.800,M2,203062,ITRIA GRIS 60X60 PRIMERA,DECORADOS Y ACABADOS CERAMICOS/AV V,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87140152,G2,1000,10,5/28/2025,2025,205,100513,3.600,M2,203010,D-OMNIA CREMA  60X60 PRIMERA,EL SUPER BODEGON DE LAS CERAMICAS,GTE. CESAR ARAMENDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140167,G2,1000,10,5/29/2025,2025,209,133748,1.800,M2,203062,ITRIA GRIS 60X60 PRIMERA,FEGO INGENIERIA SAS,GTE. MARIA FERNANDEZ,Ceramica,CEMENTOS,REVESTIMIENTO
87140168,G2,1000,10,5/29/2025,2025,205,154459,1.620,M2,203152,BROOKLYN 30X60 PRIMERA,CORONA CERAMICAS EL ROSAL SAS,GTE. CESAR ARAMENDEZ,Ceramica,OXIDOS,REVESTIMIENTO
87140168,G2,1000,10,5/29/2025,2025,205,154459,0.360,M2,201382,MACERATA AVELLANA 30X60  PRIMERA,CORONA CERAMICAS EL ROSAL SAS,GTE. CESAR ARAMENDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140168,G2,1000,10,5/29/2025,2025,205,154459,0.540,M2,203041,MARMOL OSLO 30X60 PRIMERA,CORONA CERAMICAS EL ROSAL SAS,GTE. CESAR ARAMENDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140168,G2,1000,10,5/29/2025,2025,205,154459,3.240,M2,201385,MACERATA ALMENDRA 30X60 PRIMERA,CORONA CERAMICAS EL ROSAL SAS,GTE. CESAR ARAMENDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140169,G2,1000,10,5/29/2025,2025,209,100923,1.620,M2,201385,MACERATA ALMENDRA 30X60 PRIMERA,CERAMICAS DECORALFA S.A.S,GTE. MARIA FERNANDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140185,G2,1000,10,5/30/2025,2025,205,101197,3.600,M2,202205,SEVILLA REAL 60X60 PRIMERA,MULTICENTRO COMERCIALIZADORA DE,GTE. CESAR ARAMENDEZ,Ceramica,HIDRAULICOS,REVESTIMIENTO
87140186,G2,1000,10,5/30/2025,2025,205,101197,1.620,M2,201386,MACERATA MARFIL 30X60 PRIMERA,MULTICENTRO COMERCIALIZADORA DE,GTE. CESAR ARAMENDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140187,G2,1000,10,5/30/2025,2025,205,109,1.620,M2,201386,MACERATA MARFIL 30X60 PRIMERA,MULTICENTRO COMERCIALIZADORA/GIRARD,GTE. CESAR ARAMENDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140191,G2,1000,10,5/30/2025,2025,205,100386,3.600,M2,203068,TERRANERA 60X60 PRIMERA,CERAMICOLOR SAS,GTE. CESAR ARAMENDEZ,Ceramica,NATURALES,REVESTIMIENTO
87140194,G2,1000,10,5/30/2025,2025,205,101225,3.600,M2,203034,CERITALIA TD 60X60,DISTRIBUIDORA RICAURTE Y CIA LTDA,GTE. CESAR ARAMENDEZ,Ceramica,DIAMANTES,REVESTIMIENTO
87140194,G2,1000,10,5/30/2025,2025,205,101225,1.800,M2,203091,ALAMY GREY 60X60 PRIMERA,DISTRIBUIDORA RICAURTE Y CIA LTDA,GTE. CESAR ARAMENDEZ,Ceramica,MADERAS,REVESTIMIENTO
87140200,G2,1000,10,5/30/2025,2025,205,100513,3.600,M2,260035,DIAMANTE BATTISTI CYR 60X60 GB,EL SUPER BODEGON DE LAS CERAMICAS,GTE. CESAR ARAMENDEZ,Ceramica,DIAMANTES,REVESTIMIENTO
87140201,G2,1000,10,5/30/2025,2025,209,159447,2.070,M2,263039,BERILO 58.4x118.4 GB RECT,INNOVARAMOS SAS,GTE. MARIA FERNANDEZ,Ceranatto,MARMOLIZADOS,REVESTIMIENTO
87140201,G2,1000,10,5/30/2025,2025,209,159447,2.070,M2,263047,CALMO 58.4 X118.4 GB RECT,INNOVARAMOS SAS,GTE. MARIA FERNANDEZ,Ceranatto,MARMOL,REVESTIMIENTO
87140201,G2,1000,10,5/30/2025,2025,209,159447,2.070,M2,263045,VATICANO 58.4 X118.4 GB RECT,INNOVARAMOS SAS,GTE. MARIA FERNANDEZ,Ceranatto,MARMOL,REVESTIMIENTO
87140207,G2,1000,10,5/30/2025,2025,209,174,1.800,M2,203044,TRENTINO 60X60 PRIMERA,FERRETERIA CONSTRUCERAMICAS TUMACO,GTE. MARIA FERNANDEZ,Ceramica,MARMOL,REVESTIMIENTO
87140235,ZBRE,1000,10,6/3/2025,2025,209,178,223.560,M2,263043,CARRARA REAL 58.4 X118.4 GB RECT,FERRECERAMICAS SAN JOSE S.A.S.,GTE. MARIA FERNANDEZ,Ceranatto,MARMOLIZADOS,REVESTIMIENTO
